nama,nik,jenisKelamin,tempatLahir,tanggalLahir,agama,alamat,rt,rw,dusun,pekerjaan,pendidikan,statusKawin,noKK,status
Ginanjar Komarudin,3303270201715815,Laki-laki,Gandrungmangu,2011-06-16,Islam,Desa Sidaurip RT 006 RW 004 Dusun Krajan,006,004,Krajan,Pelajar/Mahasiswa,SMP,Belum Kawin,3303702195326811,AKTIF
Julaeha Erna,3303270508532787,Perempuan,Purwokerto,1984-09-20,Islam,Desa Sidaurip RT 006 RW 001 Dusun Krajan,006,001,Krajan,Ibu Rumah Tangga,S2,Cerai Mati,3303702195326811,AKTIF
Poppy Fitriani,3303180583776866,Perempuan,Kebumen,1962-02-21,Islam,Desa Sidaurip RT 004 RW 004 Dusun Sidaurip 2,004,004,Sidaurip 2,Ibu Rumah Tangga,Tidak/Belum Sekolah,Kawin,3303424312676924,AKTIF
Ani Nurhayati,3303070716138453,Perempuan,Kebumen,1984-10-28,Islam,Desa Sidaurip RT 005 RW 002 Dusun Sidaurip 1,005,002,Sidaurip 1,Tidak Bekerja,SD,Belum Kawin,3303424312676924,AKTIF
Fahmi Rahman Lukman,3303090756727948,Laki-laki,Cilacap,1942-06-22,Hindu,Desa Sidaurip RT 002 RW 001 Dusun Sidaurip 3,002,001,Sidaurip 3,Pedagang,D3,Belum Kawin,3303424312676924,AKTIF
Yeni Rohaeni,3303021113199739,Perempuan,Purbalingga,1973-04-15,Buddha,Desa Sidaurip RT 001 RW 005 Dusun Krajan,001,005,Krajan,Ibu Rumah Tangga,SD,Cerai Mati,3303706388702071,AKTIF
Yanto Hermawan Budi,3303231003904991,Laki-laki,Purbalingga,1966-12-07,Buddha,Desa Sidaurip RT 002 RW 002 Dusun Pasar,002,002,Pasar,Petani,SMA,Belum Kawin,3303706388702071,AKTIF
Gina Rosalina,3303081160447272,Perempuan,Purbalingga,1983-06-26,Katolik,Desa Sidaurip RT 007 RW 003 Dusun Krajan,007,003,Krajan,Karyawan Swasta,SMA,Kawin,3303706388702071,AKTIF
Umar Bakri,3303070557526817,Laki-laki,Kebumen,1957-10-10,Kristen,Desa Sidaurip RT 002 RW 001 Dusun Sidaurip 1,002,001,Sidaurip 1,Petani,S1,Cerai Hidup,3303237791014787,AKTIF
Vino Pratama,3303190418961081,Laki-laki,Banyumas,1950-06-17,Islam,Desa Sidaurip RT 007 RW 002 Dusun Sidaurip 2,007,002,Sidaurip 2,Pelajar/Mahasiswa,S1,Cerai Hidup,3303237791014787,AKTIF
Cici Nurjanah,3303191206511964,Perempuan,Purwokerto,2004-09-24,Buddha,Desa Sidaurip RT 001 RW 001 Dusun Sidaurip 2,001,001,Sidaurip 2,Buruh Tani,SMP,Kawin,3303237791014787,AKTIF
Eko Prasetyo Ahmad,3303200966477298,Laki-laki,Gandrungmangu,2003-04-21,Buddha,Desa Sidaurip RT 005 RW 002 Dusun Krajan,005,002,Krajan,Guru,D3,Cerai Hidup,3303237791014787,AKTIF
Ani Nurhayati,3303171080611163,Perempuan,Banyumas,1943-02-17,Hindu,Desa Sidaurip RT 007 RW 005 Dusun Sidaurip 1,007,005,Sidaurip 1,Buruh Harian Lepas,Tidak/Belum Sekolah,Belum Kawin,3303849940385397,AKTIF
Imam Maulana,3303020400333840,Laki-laki,Cilacap,1974-07-15,Katolik,Desa Sidaurip RT 008 RW 001 Dusun Sidaurip 3,008,001,Sidaurip 3,Petani,Tidak/Belum Sekolah,Cerai Mati,3303849940385397,AKTIF
Tono Sukirman,3303280422972564,Laki-laki,Purwokerto,1950-03-18,Buddha,Desa Sidaurip RT 008 RW 001 Dusun Sidaurip 1,008,001,Sidaurip 1,Karyawan Swasta,S1,Cerai Mati,3303849940385397,AKTIF
Vino Pratama,3303221215952247,Laki-laki,Cilacap,1973-10-03,Kristen,Desa Sidaurip RT 007 RW 003 Dusun Sidaurip 3,007,003,Sidaurip 3,Buruh Tani,Tidak/Belum Sekolah,Cerai Hidup,3303207641127879,AKTIF
Budi Santoso Hendra,3303020417200768,Laki-laki,Purwokerto,2003-08-30,Islam,Desa Sidaurip RT 007 RW 003 Dusun Krajan,007,003,Krajan,Tidak Bekerja,S1,Belum Kawin,3303207641127879,AKTIF
Dewi Lestari,3303280420453124,Perempuan,Kebumen,1975-08-26,Islam,Desa Sidaurip RT 001 RW 002 Dusun Pasar,001,002,Pasar,Karyawan Swasta,S2,Cerai Mati,3303207641127879,AKTIF
Faridah Erna,3303260554343035,Perempuan,Gandrungmangu,2023-08-08,Katolik,Desa Sidaurip RT 007 RW 003 Dusun Pasar,007,003,Pasar,Belum/Tidak Bekerja,Tidak/Belum Sekolah,Belum Kawin,3303207641127879,AKTIF
Wahyu Nugroho,3303080314359914,Laki-laki,Cilacap,2026-04-26,Hindu,Desa Sidaurip RT 007 RW 002 Dusun Sidaurip 3,007,002,Sidaurip 3,Belum/Tidak Bekerja,Tidak/Belum Sekolah,Belum Kawin,3303207641127879,AKTIF
Rudi Hartono Gunawan,3303161022747287,Laki-laki,Kebumen,2003-12-27,Islam,Desa Sidaurip RT 002 RW 002 Dusun Sidaurip 3,002,002,Sidaurip 3,Pelajar/Mahasiswa,S2,Belum Kawin,3303921848584504,AKTIF
Zaenab,3303080110872562,Perempuan,Purbalingga,1952-11-24,Katolik,Desa Sidaurip RT 004 RW 001 Dusun Krajan,004,001,Krajan,Guru,SMP,Kawin,3303921848584504,AKTIF
Ratih Puspita,3303250312719093,Perempuan,Purbalingga,1958-12-20,Islam,Desa Sidaurip RT 003 RW 005 Dusun Sidaurip 2,003,005,Sidaurip 2,Buruh Tani,Tidak/Belum Sekolah,Cerai Hidup,3303921848584504,AKTIF
Mimin Mintarsih,3303140575357320,Perempuan,Banyumas,2017-04-21,Islam,Desa Sidaurip RT 004 RW 002 Dusun Sidaurip 2,004,002,Sidaurip 2,Pelajar/Mahasiswa,SMA,Belum Kawin,3303921848584504,AKTIF
